,Consequent,Antecedent,Supp,Conf,Lift,Consequent_
760,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
197,N_P,"('low_SL', '4_T', 'Y_L')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
2606,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
204,N_P,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H', 'N_WA')",0.058,0.997,1.018, Promotion_Last_5_Years:N 
5745,N_P,"('3_T', 'low_S', 'intensive_H', 'N_L', 'N_WA')",0.058,0.997,1.018, Promotion_Last_5_Years:N 
2593,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
5753,N_P,"('3_T', 'low_S', 'intensive_H', 'N_WA')",0.061,0.997,1.018, Promotion_Last_5_Years:N 
2578,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.05,0.996,1.018, Promotion_Last_5_Years:N 
825,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
2089,N_P,"('1_D', 'medium_SL', 'N_WA')",0.057,0.997,1.018, Promotion_Last_5_Years:N 
840,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
853,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
383,N_P,"('low_SL', 'low_S', 'intensive_H')",0.052,0.996,1.018, Promotion_Last_5_Years:N 
317,N_P,"('low_SL', 'insufficient_LE', 'low_S', 'intensive_H')",0.052,0.996,1.018, Promotion_Last_5_Years:N 
866,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'low_S')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
2778,N_P,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'N_WA')",0.052,0.996,1.018, Promotion_Last_5_Years:N 
962,N_P,"('2_NP', 'Y_L', 'insufficient_LE', '3_T', 'low_S')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
240,N_P,"('low_SL', '4_T', 'intensive_H', 'N_WA')",0.058,0.997,1.018, Promotion_Last_5_Years:N 
2846,N_P,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
1540,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S')",0.056,0.996,1.018, Promotion_Last_5_Years:N 
3146,N_P,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
2898,N_P,"('Y_L', 'insufficient_LE', 'intensive_H', 'N_WA')",0.06,0.997,1.018, Promotion_Last_5_Years:N 
1585,N_P,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.052,0.996,1.018, Promotion_Last_5_Years:N 
1598,N_P,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'standard_H')",0.055,0.996,1.018, Promotion_Last_5_Years:N 
3344,N_P,"('insufficient_LE', 'low_S')",0.141,0.996,1.018, Promotion_Last_5_Years:N 
3336,N_P,"('insufficient_LE', 'low_S', 'intensive_H')",0.057,0.996,1.018, Promotion_Last_5_Years:N 
3331,N_P,"('insufficient_LE', 'low_S', 'intensive_H', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
3170,N_P,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
3326,N_P,"('insufficient_LE', 'low_S', 'standard_H')",0.084,0.996,1.018, Promotion_Last_5_Years:N 
179,N_P,"('low_SL', '4_T', 'Y_L', 'intensive_H')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
3181,N_P,"('insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.058,0.997,1.018, Promotion_Last_5_Years:N 
137,N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
1609,N_P,"('2_NP', 'insufficient_LE', '3_T', 'low_S', 'N_WA')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
1620,N_P,"('2_NP', 'insufficient_LE', '3_T', 'low_S')",0.056,0.996,1.018, Promotion_Last_5_Years:N 
148,N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
3283,N_P,"('insufficient_LE', '3_T', 'low_S', 'N_WA')",0.061,0.997,1.018, Promotion_Last_5_Years:N 
3276,N_P,"('insufficient_LE', '3_T', 'low_S', 'standard_H')",0.061,0.997,1.018, Promotion_Last_5_Years:N 
3222,N_P,"('insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.06,0.997,1.018, Promotion_Last_5_Years:N 
168,N_P,"('low_SL', '4_T', 'Y_L', 'intensive_H', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
3267,N_P,"('insufficient_LE', '3_T', 'low_S', 'standard_H', 'N_WA')",0.057,0.996,1.018, Promotion_Last_5_Years:N 
1692,N_P,"('2_NP', 'insufficient_LE', 'low_S')",0.059,0.997,1.018, Promotion_Last_5_Years:N 
159,N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
1665,N_P,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
1685,N_P,"('2_NP', 'insufficient_LE', 'low_S', 'N_WA')",0.056,0.996,1.018, Promotion_Last_5_Years:N 
2857,N_P,"('Y_L', 'insufficient_LE', 'low_S', 'standard_H')",0.056,0.996,1.018, Promotion_Last_5_Years:N 
3159,N_P,"('insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.057,0.996,1.018, Promotion_Last_5_Years:N 
124,N_P,"('low_SL', '4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
1518,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.055,0.996,1.018, Promotion_Last_5_Years:N 
1409,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.052,0.996,1.018, Promotion_Last_5_Years:N 
3085,N_P,"('Y_L', 'medium_S')",0.087,0.996,1.018, Promotion_Last_5_Years:N 
3094,N_P,"('Y_L', 'high_SL', 'N_WA')",0.06,0.997,1.018, Promotion_Last_5_Years:N 
1017,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
1030,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'standard_H')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
1041,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S', 'N_WA')",0.051,0.996,1.018, Promotion_Last_5_Years:N 
1052,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'low_S')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
3082,N_P,"('Y_L', 'medium_S', 'N_WA')",0.083,0.997,1.018, Promotion_Last_5_Years:N 
1424,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
1437,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.052,0.996,1.018, Promotion_Last_5_Years:N 
1450,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.054,0.996,1.018, Promotion_Last_5_Years:N 
1505,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
1676,N_P,"('2_NP', 'insufficient_LE', 'low_S', 'standard_H')",0.057,0.997,1.018, Promotion_Last_5_Years:N 
1529,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', 'low_S', 'N_WA')",0.053,0.996,1.018, Promotion_Last_5_Years:N 
2841,N_P,"('Y_L', 'insufficient_LE', 'medium_S')",0.057,0.995,1.017, Promotion_Last_5_Years:N 
2906,N_P,"('Y_L', 'insufficient_LE', 'N_WA')",0.146,0.995,1.017, Promotion_Last_5_Years:N 
3097,N_P,"('Y_L', 'high_SL')",0.063,0.996,1.017, Promotion_Last_5_Years:N 
333,N_P,"('low_SL', 'insufficient_LE', 'low_S')",0.072,0.995,1.017, Promotion_Last_5_Years:N 
2913,N_P,"('Y_L', 'insufficient_LE')",0.153,0.996,1.017, Promotion_Last_5_Years:N 
5389,N_P,"('medium_SL', '3_T', 'low_S', 'N_WA')",0.102,0.995,1.017, Promotion_Last_5_Years:N 
4697,N_P,"('4_NP', 'low_S', 'intensive_H', 'N_WA')",0.064,0.996,1.017, Promotion_Last_5_Years:N 
3319,N_P,"('insufficient_LE', 'low_S', 'standard_H', 'N_WA')",0.076,0.996,1.017, Promotion_Last_5_Years:N 
2027,N_P,"('4_T', 'low_S', 'intensive_H', 'N_WA')",0.053,0.995,1.017, Promotion_Last_5_Years:N 
2834,N_P,"('Y_L', 'insufficient_LE', 'medium_S', 'N_WA')",0.054,0.995,1.017, Promotion_Last_5_Years:N 
3339,N_P,"('insufficient_LE', 'low_S', 'N_WA')",0.126,0.996,1.017, Promotion_Last_5_Years:N 
2287,N_P,"('5_NP', 'low_S', 'N_L')",0.063,0.996,1.017, Promotion_Last_5_Years:N 
1821,N_P,"('2_NP', 'medium_SL', 'low_S', 'N_WA')",0.07,0.995,1.017, Promotion_Last_5_Years:N 
2875,N_P,"('Y_L', 'insufficient_LE', 'low_S')",0.093,0.996,1.017, Promotion_Last_5_Years:N 
2866,N_P,"('Y_L', 'insufficient_LE', 'low_S', 'N_WA')",0.088,0.995,1.017, Promotion_Last_5_Years:N 
4299,N_P,"('0_D', 'low_S', 'intensive_H', 'N_WA')",0.061,0.996,1.017, Promotion_Last_5_Years:N 
393,N_P,"('low_SL', 'low_S')",0.072,0.995,1.017, Promotion_Last_5_Years:N 
1873,N_P,"('2_NP', '3_T', 'low_S', 'N_WA')",0.068,0.995,1.017, Promotion_Last_5_Years:N 
1801,N_P,"('2_NP', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.067,0.995,1.017, Promotion_Last_5_Years:N 
4305,N_P,"('0_D', 'low_S', 'intensive_H')",0.069,0.994,1.016, Promotion_Last_5_Years:N 
2009,N_P,"('4_T', 'insufficient_LE', 'N_WA')",0.07,0.994,1.016, Promotion_Last_5_Years:N 
249,N_P,"('low_SL', '4_T', 'intensive_H')",0.062,0.995,1.016, Promotion_Last_5_Years:N 
1401,N_P,"('2_NP', 'Y_L', 'N_WA')",0.099,0.994,1.016, Promotion_Last_5_Years:N 
5957,N_P,"('high_SL', 'low_S', 'intensive_H', 'N_WA')",0.114,0.994,1.016, Promotion_Last_5_Years:N 
224,N_P,"('low_SL', '4_T', 'insufficient_LE', 'N_WA')",0.065,0.994,1.016, Promotion_Last_5_Years:N 
3026,N_P,"('Y_L', 'medium_SL', 'standard_H', 'N_WA')",0.099,0.994,1.016, Promotion_Last_5_Years:N 
256,N_P,"('low_SL', '4_T', 'N_WA')",0.065,0.994,1.016, Promotion_Last_5_Years:N 
5964,N_P,"('high_SL', 'low_S', 'intensive_H')",0.133,0.994,1.016, Promotion_Last_5_Years:N 
986,N_P,"('2_NP', 'Y_L', 'insufficient_LE', '3_T', 'standard_H')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
1353,N_P,"('2_NP', 'Y_L', 'low_S', 'standard_H', 'N_WA')",0.06,0.994,1.016, Promotion_Last_5_Years:N 
3000,N_P,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.061,0.995,1.016, Promotion_Last_5_Years:N 
326,N_P,"('low_SL', 'insufficient_LE', 'low_S', 'N_WA')",0.063,0.995,1.016, Promotion_Last_5_Years:N 
2533,N_P,"('2_T', 'low_S')",0.101,0.995,1.016, Promotion_Last_5_Years:N 
2530,N_P,"('2_T', 'low_S', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
3118,N_P,"('Y_L', 'low_S', 'N_WA')",0.138,0.995,1.016, Promotion_Last_5_Years:N 
3038,N_P,"('Y_L', 'medium_SL', 'N_WA')",0.104,0.994,1.016, Promotion_Last_5_Years:N 
1373,N_P,"('2_NP', 'Y_L', 'low_S', 'N_WA')",0.061,0.995,1.016, Promotion_Last_5_Years:N 
2527,N_P,"('2_T', 'low_S', 'N_L')",0.1,0.995,1.016, Promotion_Last_5_Years:N 
5368,N_P,"('medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
2123,N_P,"('1_D', 'low_S', 'N_L', 'N_WA')",0.054,0.994,1.016, Promotion_Last_5_Years:N 
2522,N_P,"('2_T', 'low_S', 'N_L', 'N_WA')",0.081,0.994,1.016, Promotion_Last_5_Years:N 
215,N_P,"('low_SL', '4_T', 'insufficient_LE', 'intensive_H')",0.062,0.995,1.016, Promotion_Last_5_Years:N 
388,N_P,"('low_SL', 'low_S', 'N_WA')",0.063,0.995,1.016, Promotion_Last_5_Years:N 
3018,N_P,"('Y_L', 'medium_SL', 'low_S', 'N_WA')",0.064,0.995,1.016, Promotion_Last_5_Years:N 
997,N_P,"('2_NP', 'Y_L', 'insufficient_LE', '3_T', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
2002,N_P,"('4_T', 'insufficient_LE', 'intensive_H')",0.064,0.995,1.016, Promotion_Last_5_Years:N 
1081,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'N_WA')",0.083,0.994,1.016, Promotion_Last_5_Years:N 
814,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
2654,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
2665,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
1125,N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.059,0.994,1.016, Promotion_Last_5_Years:N 
1097,N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.059,0.994,1.016, Promotion_Last_5_Years:N 
3627,N_P,"('good_LE', 'low_S', 'standard_H')",0.056,0.994,1.016, Promotion_Last_5_Years:N 
3622,N_P,"('good_LE', 'low_S', 'standard_H', 'N_L')",0.055,0.994,1.016, Promotion_Last_5_Years:N 
877,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
2891,N_P,"('Y_L', 'insufficient_LE', 'standard_H')",0.09,0.995,1.016, Promotion_Last_5_Years:N 
1090,N_P,"('2_NP', 'Y_L', 'insufficient_LE')",0.087,0.995,1.016, Promotion_Last_5_Years:N 
2882,N_P,"('Y_L', 'insufficient_LE', 'standard_H', 'N_WA')",0.085,0.995,1.016, Promotion_Last_5_Years:N 
890,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'standard_H')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
2718,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.083,0.994,1.016, Promotion_Last_5_Years:N 
2729,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', 'standard_H')",0.087,0.995,1.016, Promotion_Last_5_Years:N 
801,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
1855,N_P,"('2_NP', '3_T', 'low_S', 'standard_H', 'N_WA')",0.064,0.995,1.016, Promotion_Last_5_Years:N 
901,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
1072,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'standard_H')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
2738,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', 'N_WA')",0.084,0.995,1.016, Promotion_Last_5_Years:N 
912,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
2747,N_P,"('Y_L', 'insufficient_LE', 'medium_SL')",0.088,0.995,1.016, Promotion_Last_5_Years:N 
2827,N_P,"('Y_L', 'insufficient_LE', '3_T')",0.088,0.995,1.016, Promotion_Last_5_Years:N 
2818,N_P,"('Y_L', 'insufficient_LE', '3_T', 'N_WA')",0.084,0.994,1.016, Promotion_Last_5_Years:N 
1061,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'standard_H', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
2809,N_P,"('Y_L', 'insufficient_LE', '3_T', 'standard_H')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
973,N_P,"('2_NP', 'Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
1008,N_P,"('2_NP', 'Y_L', 'insufficient_LE', '3_T')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
2798,N_P,"('Y_L', 'insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
1745,N_P,"('2_NP', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.063,0.995,1.016, Promotion_Last_5_Years:N 
2922,N_P,"('Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.059,0.994,1.016, Promotion_Last_5_Years:N 
1297,N_P,"('2_NP', 'Y_L', '3_T', 'low_S', 'N_WA')",0.059,0.994,1.016, Promotion_Last_5_Years:N 
2643,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
788,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.086,0.995,1.016, Promotion_Last_5_Years:N 
2630,N_P,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
1217,N_P,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'N_WA')",0.06,0.994,1.016, Promotion_Last_5_Years:N 
1721,N_P,"('2_NP', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.062,0.995,1.016, Promotion_Last_5_Years:N 
773,N_P,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.082,0.994,1.016, Promotion_Last_5_Years:N 
2946,N_P,"('Y_L', 'medium_SL', '3_T', 'low_S', 'N_WA')",0.06,0.994,1.016, Promotion_Last_5_Years:N 
1273,N_P,"('2_NP', 'Y_L', '3_T', 'low_S', 'standard_H', 'N_WA')",0.059,0.994,1.016, Promotion_Last_5_Years:N 
1193,N_P,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_WA')",0.059,0.994,1.016, Promotion_Last_5_Years:N 
1658,N_P,"('2_NP', 'insufficient_LE', '3_T')",0.091,0.993,1.015, Promotion_Last_5_Years:N 
2986,N_P,"('Y_L', 'medium_SL', '3_T', 'N_WA')",0.097,0.994,1.015, Promotion_Last_5_Years:N 
1237,N_P,"('2_NP', 'Y_L', 'medium_SL', 'standard_H', 'N_WA')",0.096,0.994,1.015, Promotion_Last_5_Years:N 
2034,N_P,"('4_T', 'low_S', 'intensive_H')",0.059,0.993,1.015, Promotion_Last_5_Years:N 
3123,N_P,"('Y_L', 'low_S')",0.144,0.994,1.015, Promotion_Last_5_Years:N 
1640,N_P,"('2_NP', 'insufficient_LE', '3_T', 'standard_H')",0.09,0.993,1.015, Promotion_Last_5_Years:N 
1496,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T')",0.089,0.993,1.015, Promotion_Last_5_Years:N 
1649,N_P,"('2_NP', 'insufficient_LE', '3_T', 'N_WA')",0.086,0.993,1.015, Promotion_Last_5_Years:N 
2012,N_P,"('4_T', 'insufficient_LE')",0.077,0.993,1.015, Promotion_Last_5_Years:N 
509,N_P,"('2_D', 'intensive_H', 'N_WA')",0.063,0.994,1.015, Promotion_Last_5_Years:N 
1485,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'N_WA')",0.085,0.993,1.015, Promotion_Last_5_Years:N 
494,N_P,"('2_D', 'low_S')",0.076,0.994,1.015, Promotion_Last_5_Years:N 
1474,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.089,0.993,1.015, Promotion_Last_5_Years:N 
1461,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.085,0.993,1.015, Promotion_Last_5_Years:N 
3551,N_P,"('good_LE', 'high_SL', 'low_S')",0.072,0.994,1.015, Promotion_Last_5_Years:N 
1317,N_P,"('2_NP', 'Y_L', '3_T', 'standard_H', 'N_WA')",0.095,0.994,1.015, Promotion_Last_5_Years:N 
489,N_P,"('2_D', 'low_S', 'N_WA')",0.064,0.994,1.015, Promotion_Last_5_Years:N 
2966,N_P,"('Y_L', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.096,0.994,1.015, Promotion_Last_5_Years:N 
6065,N_P,"('low_S', 'intensive_H', 'N_L', 'N_WA')",0.134,0.993,1.015, Promotion_Last_5_Years:N 
5124,N_P,"('very good_LE', 'high_SL', 'low_S', 'intensive_H')",0.093,0.994,1.015, Promotion_Last_5_Years:N 
1257,N_P,"('2_NP', 'Y_L', 'medium_SL', 'N_WA')",0.097,0.994,1.015, Promotion_Last_5_Years:N 
2042,N_P,"('4_T', 'low_S', 'N_WA')",0.075,0.994,1.015, Promotion_Last_5_Years:N 
2092,N_P,"('1_D', 'medium_SL')",0.067,0.993,1.015, Promotion_Last_5_Years:N 
1713,N_P,"('2_NP', 'insufficient_LE', 'N_WA')",0.094,0.993,1.015, Promotion_Last_5_Years:N 
2921,N_P,"('Y_L', '0_D')",0.067,0.993,1.015, Promotion_Last_5_Years:N 
1173,N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'N_WA')",0.096,0.994,1.015, Promotion_Last_5_Years:N 
96,N_P,"('5_T', 'high_SL', 'intensive_H')",0.051,0.993,1.015, Promotion_Last_5_Years:N 
3360,N_P,"('insufficient_LE', 'intensive_H', 'N_WA')",0.096,0.994,1.015, Promotion_Last_5_Years:N 
4705,N_P,"('4_NP', 'low_S', 'N_L', 'N_WA')",0.1,0.993,1.015, Promotion_Last_5_Years:N 
3650,N_P,"('good_LE', 'low_S')",0.119,0.993,1.015, Promotion_Last_5_Years:N 
1149,N_P,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.095,0.994,1.015, Promotion_Last_5_Years:N 
2131,N_P,"('1_D', 'low_S', 'N_WA')",0.078,0.993,1.015, Promotion_Last_5_Years:N 
1785,N_P,"('2_NP', 'medium_SL', '3_T', 'N_WA')",0.105,0.993,1.015, Promotion_Last_5_Years:N 
396,N_P,"('low_SL', 'intensive_H', 'N_WA')",0.087,0.993,1.015, Promotion_Last_5_Years:N 
1885,N_P,"('2_NP', '3_T', 'standard_H', 'N_WA')",0.107,0.993,1.015, Promotion_Last_5_Years:N 
3142,N_P,"('insufficient_LE', '0_D', 'N_WA')",0.064,0.994,1.015, Promotion_Last_5_Years:N 
1629,N_P,"('2_NP', 'insufficient_LE', '3_T', 'standard_H', 'N_WA')",0.086,0.993,1.015, Promotion_Last_5_Years:N 
1385,N_P,"('2_NP', 'Y_L', 'standard_H', 'N_WA')",0.097,0.994,1.015, Promotion_Last_5_Years:N 
340,N_P,"('low_SL', 'insufficient_LE', 'intensive_H', 'N_WA')",0.087,0.993,1.015, Promotion_Last_5_Years:N 
2047,N_P,"('4_T', 'low_S')",0.086,0.993,1.015, Promotion_Last_5_Years:N 
1897,N_P,"('2_NP', '3_T', 'N_WA')",0.114,0.993,1.015, Promotion_Last_5_Years:N 
5757,N_P,"('3_T', 'low_S', 'N_L', 'N_WA')",0.122,0.993,1.015, Promotion_Last_5_Years:N 
5280,N_P,"('very good_LE', 'low_S', 'intensive_H')",0.093,0.994,1.015, Promotion_Last_5_Years:N 
117,N_P,"('5_T', 'intensive_H')",0.071,0.993,1.015, Promotion_Last_5_Years:N 
1337,N_P,"('2_NP', 'Y_L', '3_T', 'N_WA')",0.096,0.994,1.015, Promotion_Last_5_Years:N 
4678,N_P,"('4_NP', 'low_S', 'standard_H', 'N_L', 'N_WA')",0.05,0.992,1.014, Promotion_Last_5_Years:N 
233,N_P,"('low_SL', '4_T', 'insufficient_LE')",0.072,0.993,1.014, Promotion_Last_5_Years:N 
4238,N_P,"('0_D', 'high_SL', 'low_S', 'N_WA')",0.056,0.993,1.014, Promotion_Last_5_Years:N 
4713,N_P,"('4_NP', 'low_S', 'N_WA')",0.115,0.993,1.014, Promotion_Last_5_Years:N 
1346,N_P,"('2_NP', 'Y_L', '3_T')",0.101,0.992,1.014, Promotion_Last_5_Years:N 
261,N_P,"('low_SL', '4_T')",0.072,0.993,1.014, Promotion_Last_5_Years:N 
1756,N_P,"('2_NP', 'medium_SL', '3_T', 'low_S')",0.067,0.992,1.014, Promotion_Last_5_Years:N 
3145,N_P,"('insufficient_LE', '0_D')",0.072,0.993,1.014, Promotion_Last_5_Years:N 
3126,N_P,"('Y_L', 'standard_H', 'N_WA')",0.104,0.992,1.014, Promotion_Last_5_Years:N 
1406,N_P,"('2_NP', 'Y_L')",0.104,0.992,1.014, Promotion_Last_5_Years:N 
3078,N_P,"('Y_L', '3_T', 'N_WA')",0.1,0.992,1.014, Promotion_Last_5_Years:N 
3041,N_P,"('Y_L', 'medium_SL')",0.109,0.993,1.014, Promotion_Last_5_Years:N 
1549,N_P,"('2_NP', 'insufficient_LE', 'medium_SL', 'standard_H', 'N_WA')",0.088,0.992,1.014, Promotion_Last_5_Years:N 
3033,N_P,"('Y_L', 'medium_SL', 'standard_H')",0.103,0.992,1.014, Promotion_Last_5_Years:N 
3023,N_P,"('Y_L', 'medium_SL', 'low_S')",0.067,0.992,1.014, Promotion_Last_5_Years:N 
2995,N_P,"('Y_L', 'medium_SL', '3_T')",0.102,0.992,1.014, Promotion_Last_5_Years:N 
2977,N_P,"('Y_L', 'medium_SL', '3_T', 'standard_H')",0.1,0.992,1.014, Promotion_Last_5_Years:N 
1697,N_P,"('2_NP', 'insufficient_LE', 'standard_H', 'N_WA')",0.091,0.993,1.014, Promotion_Last_5_Years:N 
1718,N_P,"('2_NP', 'insufficient_LE')",0.1,0.992,1.014, Promotion_Last_5_Years:N 
1765,N_P,"('2_NP', 'medium_SL', '3_T', 'standard_H', 'N_WA')",0.103,0.993,1.014, Promotion_Last_5_Years:N 
